timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning,time_sec
290856000,290856000,4196000,47.39797105772898,8.546163739800146,23.777449,-2.211254,-5.007457,0.0,0.0,0.0,3.4967523,4.0916443,-2.872788,0.0,0.0,0.0,0.0,3.6309302,4.2258825,1.1842432,0.06088027,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
290876000,290876000,4196000,47.39797105772898,8.546163739800146,23.848785,-2.1278307,-5.0645185,0.0,0.0,0.0,3.5668776,4.171156,-2.8530781,0.0,0.0,0.0,0.0,3.5062635,3.9755912,0.98550016,0.06822561,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.02
290896000,290896000,4196000,47.39797105772898,8.546163739800146,23.921453,-2.0428982,-5.121259,0.0,0.0,0.0,3.633394,4.2466326,-2.8370488,0.0,0.0,0.0,0.0,3.325818,3.773811,0.80145884,0.07495483,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.04
290916000,290916000,4196000,47.39797105772898,8.546163739800146,23.995388,-1.9565574,-5.177755,0.0,0.0,0.0,3.6967332,4.31704,-2.82477,0.0,0.0,0.0,0.0,3.1669626,3.5203893,0.61394554,0.08100777,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.06
290936000,290936000,4196000,47.39797105772898,8.546163739800146,24.070515,-1.86891,-5.2340784,0.0,0.0,0.0,3.756275,4.3823714,-2.8161933,0.0,0.0,0.0,0.0,2.977085,3.2665718,0.4288361,0.08632582,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.08
290956000,290956000,4196000,47.39797105772898,8.546163739800146,24.146755,-1.7800574,-5.2903004,0.0,0.0,0.0,3.8120997,4.4426255,-2.8111017,0.0,0.0,0.0,0.0,2.7912474,3.0126948,0.25458357,0.09086941,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.1
290976000,290976000,4196000,47.39797105772898,8.546163739800146,24.22403,-1.6901118,-5.3464923,0.0,0.0,0.0,3.863655,4.4972825,-2.8095808,0.0,0.0,0.0,0.0,2.5777643,2.7328417,0.07603984,0.094602585,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.12
290996000,290996000,4196000,47.39797105772898,8.546163739800146,24.302246,-1.5991738,-5.4027147,0.0,0.0,0.0,3.9108698,4.5468993,-2.8111355,0.0,0.0,0.0,0.0,2.3607435,2.4808457,-0.07773249,0.0975059,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.14
291016000,291016000,4196000,47.39797105772898,8.546163739800146,24.381323,-1.5073558,-5.459027,0.0,0.0,0.0,3.9538167,4.5909004,-2.8156073,0.0,0.0,0.0,0.0,2.1473398,2.2000651,-0.22359325,0.09957402,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.16
291036000,291036000,4196000,47.39797105772898,8.546163739800146,24.461155,-1.414765,-5.515483,0.0,0.0,0.0,3.9916074,4.6295395,-2.8227837,0.0,0.0,0.0,0.0,1.8895289,1.9319521,-0.35882342,0.10079908,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.18
