wf,occ,drone,scen,eirp_dbm,sigma_dbsm,sigma_po_dbsm,occlusion_db,snr_echo_db,snr_echo_eff_db,dnr_db,delta_rb_m,rb_m,fd_hz,scr_db,scr_std,pd,pd_lo,pd_hi,rb_err_m,M,N,ghost_on,p_ghost_det,ghost_margin_db,p_false,ghost_bins_apart,ghost_sep_m,ghost_amp_db,ghost_fd_hz,ghost_resolved
nr100,G3,s1000plus,radial,12,-7.838,,,-1.838,-2.808,45.99,3.05,22.02,64,44.94,0.06303,1,0.963,1,0.01854,64,100,False,,,,,,,,
nr100,G3,s1000plus,radial,12,-7.838,,,-1.838,-2.808,45.99,3.05,22.02,64,44.8,0.06476,1,0.963,1,0.0516,64,100,True,1,16.09,0,"(1, 0)",3.541,-18.03,56.74,True
nr100,G3,phantom4,radial,12,-9.204,,,-3.204,-4.174,47.36,3.05,22.02,64,44.8,0.06074,1,0.963,1,0.01856,64,100,False,,,,,,,,
nr100,G3,phantom4,radial,12,-9.204,,,-3.204,-4.174,47.36,3.05,22.02,64,44.66,0.06181,1,0.963,1,0.05162,64,100,True,1,16.07,0,"(1, 0)",3.541,-18.03,56.74,True
nr100,G3,matrice4e,radial,12,-16.67,,,-10.67,-11.64,54.82,3.05,22.02,64,43.04,0.13,1,0.963,1,0.01909,64,100,False,,,,,,,,
nr100,G3,matrice4e,radial,12,-16.67,,,-10.67,-11.64,54.82,3.05,22.02,64,42.93,0.1343,1,0.963,1,0.05099,64,100,True,1,15.91,0,"(1, 0)",3.541,-18.03,56.74,True
nr100,G3,mavic4pro,radial,12,-11.79,,,-5.785,-6.755,49.94,3.05,22.02,64,44.45,0.09117,1,0.963,1,0.01841,64,100,False,,,,,,,,
nr100,G3,mavic4pro,radial,12,-11.79,,,-5.785,-6.755,49.94,3.05,22.02,64,44.32,0.09584,1,0.963,1,0.05183,64,100,True,1,16.05,0,"(1, 0)",3.541,-18.03,56.74,True
nr100,G3,mini5pro,radial,12,-25.64,,,-19.64,-20.61,63.79,3.05,22.02,64,37.25,0.1902,1,0.963,1,0.01944,64,100,False,,,,,,,,
nr100,G3,mini5pro,radial,12,-25.64,,,-19.64,-20.61,63.79,3.05,22.02,64,37.16,0.1931,1,0.963,1,0.0512,64,100,True,1,14.57,0,"(1, 0)",3.541,-18.03,56.74,True
