wf,occ,drone,scen,eirp_dbm,sigma_dbsm,sigma_po_dbsm,occlusion_db,snr_echo_db,snr_echo_eff_db,dnr_db,delta_rb_m,rb_m,fd_hz,scr_db,scr_std,pd,pd_lo,pd_hi,rb_err_m,M,N
nr100,G3,s1000plus,radial,12,-14.74,-3.458,-11.29,-8.745,-9.715,52.9,3.05,22.02,64,43.73,0.1135,1,0.963,1,0.01845,64,100
nr100,G3,phantom4,radial,12,-23.24,-12.31,-10.93,-17.24,-18.21,61.4,3.05,22.02,64,39.18,0.1524,1,0.963,1,0.01839,64,100
nr100,G3,matrice4e,radial,12,-20.17,-10.78,-9.386,-14.17,-15.14,58.32,3.05,22.02,64,41.28,0.156,1,0.963,1,0.01933,64,100
nr100,G3,mavic4pro,radial,12,-16.3,-10.25,-6.052,-10.3,-11.27,54.46,3.05,22.02,64,43.21,0.1293,1,0.963,1,0.01828,64,100
nr100,G3,mini5pro,radial,12,-25.39,-24.04,-1.349,-19.39,-20.36,63.54,3.05,22.02,64,37.46,0.1891,1,0.963,1,0.01938,64,100
wifi80,G3,s1000plus,radial,12,-8.513,-0.03637,-8.476,-4.83,-5.074,46.67,3.964,22.02,95.27,32.23,0.3109,1,0.963,1,0.3158,32,100
wifi80,G3,phantom4,radial,12,-21.76,-10.26,-11.5,-18.08,-18.32,59.92,3.964,22.02,95.27,19.41,0.6336,1,0.963,1,0.3712,32,100
wifi80,G3,matrice4e,radial,12,-18.08,-9.756,-8.32,-14.39,-14.64,56.23,3.964,22.02,95.27,23.15,0.4615,1,0.963,1,0.3375,32,100
wifi80,G3,mavic4pro,radial,12,-16.05,-13.03,-3.014,-12.36,-12.61,54.2,3.964,22.02,95.27,25.19,0.4174,1,0.963,1,0.3288,32,100
wifi80,G3,mini5pro,radial,12,-26.21,-21.6,-4.606,-22.52,-22.77,64.36,3.964,22.02,95.27,15,0.9806,1,0.963,1,0.3847,32,100
lte20,G3,s1000plus,radial,12,-12.24,-7.098,-5.146,6.699,4.378,50.4,16.66,22.02,33.7,56.22,0.5599,1,0.963,1,0.3308,32,100
lte20,G3,phantom4,radial,12,-24.65,-16.41,-8.239,-5.707,-8.028,62.81,16.66,22.02,33.7,44.18,0.6088,1,0.963,1,0.3399,32,100
lte20,G3,matrice4e,radial,12,-20.47,-15.97,-4.507,-1.532,-3.853,58.63,16.66,22.02,33.7,48.32,0.6134,1,0.963,1,0.3377,32,100
lte20,G3,mavic4pro,radial,12,-21.15,-11.66,-9.484,-2.206,-4.527,59.3,16.66,22.02,33.7,47.64,0.6972,1,0.963,1,0.3355,32,100
lte20,G3,mini5pro,radial,12,-31.17,-24.84,-6.331,-12.22,-14.55,69.32,16.66,22.02,33.7,37.79,0.6494,1,0.963,1,0.3221,32,100
lte10,G3,s1000plus,radial,12,-12.24,-7.098,-5.146,9.71,7.388,50.4,33.31,22.02,33.7,56.11,0.7539,1,0.963,1,0.4067,32,100
lte10,G3,phantom4,radial,12,-24.65,-16.41,-8.239,-2.697,-5.018,62.81,33.31,22.02,33.7,44.53,0.7553,1,0.963,1,0.3974,32,100
lte10,G3,matrice4e,radial,12,-20.47,-15.97,-4.507,1.479,-0.8427,58.63,33.31,22.02,33.7,48.56,0.8287,1,0.963,1,0.4147,32,100
lte10,G3,mavic4pro,radial,12,-21.15,-11.66,-9.484,0.8047,-1.517,59.3,33.31,22.02,33.7,47.95,0.7444,1,0.963,1,0.3928,32,100
lte10,G3,mini5pro,radial,12,-31.17,-24.84,-6.331,-9.214,-11.54,69.32,33.31,22.02,33.7,38.03,0.791,1,0.963,1,0.4279,32,100
